Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.50; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.50; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0031 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.60; Czas: 0.0025 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0038 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0037 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.60; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.70; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0042 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0050 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0037 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.70; Czas: 0.0049 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.80; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0040 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0067 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0044 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0057 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0038 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0040 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0038 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0125 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0042 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.80; Czas: 0.0038 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.90; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0044 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0059 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0056 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0037 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0038 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0058 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0038 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.90; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0046 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0037 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.50; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0051 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0061 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0046 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0082 ms; Backtracki: 3;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0044 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0045 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0045 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.50; Czas: 0.0048 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0038 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0031 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0045 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0038 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0048 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.60; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0051 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0077 ms; Backtracki: 3;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0045 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0069 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0063 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0078 ms; Backtracki: 3;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.60; Czas: 0.0078 ms; Backtracki: 3;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0031 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.70; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0052 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0091 ms; Backtracki: 5;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0088 ms; Backtracki: 5;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0068 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0100 ms; Backtracki: 6;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0087 ms; Backtracki: 5;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.70; Czas: 0.0061 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.3353 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0033 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.80; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0055 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0052 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0125 ms; Backtracki: 9;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0063 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0048 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0067 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0048 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0050 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.80; Czas: 0.0059 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0098 ms; Backtracki: 3;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0051 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0055 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0060 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0101 ms; Backtracki: 3;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0060 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0059 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0077 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0191 ms; Backtracki: 7;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0079 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0145 ms; Backtracki: 4;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0076 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0107 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0075 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0080 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0078 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0059 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0095 ms; Backtracki: 4;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0043 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0041 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0043 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0043 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.50; Czas: 0.0040 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0120 ms; Backtracki: 5;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0078 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0137 ms; Backtracki: 7;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0068 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0054 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0111 ms; Backtracki: 6;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0138 ms; Backtracki: 8;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0058 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0069 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.50; Czas: 0.0134 ms; Backtracki: 6;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0074 ms; Backtracki: 4;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0039 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0041 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0040 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0074 ms; Backtracki: 4;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0073 ms; Backtracki: 4;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0037 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0067 ms; Backtracki: 3;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0075 ms; Backtracki: 4;
Operacja: SHC; Typ: nieskierowany; n: 5; Nasycenie: 0.60; Czas: 0.0042 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.60; Czas: 0.0064 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.60; Czas: 0.0060 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.60; Czas: 0.0084 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.60; Czas: 0.0060 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.60; Czas: 0.0088 ms; Backtracki: 3;
Operacja: SHC; Typ: skierowany; n: 5; Nasycenie: 0.60; Czas: 0.0057 ms; Backtracki: 0;
